43. Pride and Prejudice, Jane Austen, 1813, Novel (Romance), 9.90 EUR, English, 432;
7. Crime and Punishment, Fyodor Dostoevsky, 1866, Psychological novel, 12.50 EUR, Russian, 671;
68. War and Peace, Leo Tolstoy, 1869, Historical novel, 18.00 EUR, Russian, 1225;
12. Don Quixote, Miguel de Cervantes, 1605, Satire / Novel, 14.00 EUR, Spanish, 863;
55. One Hundred Years of Solitude, Gabriel García Márquez, 1967, Magical realism, 11.99 EUR, Spanish, 417;
6. The Great Gatsby, F. Scott Fitzgerald, 1925, Novel, 10.00 EUR, English, 180;
27. To Kill a Mockingbird, Harper Lee, 1960, Southern Gothic / Legal drama, 11.50 EUR, English, 324;
59. 1984, George Orwell, 1949, Dystopia, 9.50 EUR, English, 328;
3. Brave New World, Aldous Huxley, 1932, Dystopia / Sci-fi, 9.00 EUR, English, 268;
71. The Catcher in the Rye, J.D. Salinger, 1951, Coming-of-age novel, 10.50 EUR, English, 214;
18. The Road, Cormac McCarthy, 2006, Post-apocalyptic novel, 12.00 EUR, English, 287;
64. Beloved, Toni Morrison, 1987, Historical / Magical realism, 13.50 EUR, English, 324;
25. The Brothers Karamazov, Fyodor Dostoevsky, 1880, Philosophical novel, 16.00 EUR, Russian, 824;
49. Madame Bovary, Gustave Flaubert, 1856, Realist novel, 10.00 EUR, French, 328;
2. The Stranger, Albert Camus, 1942, Philosophical novel / Absurdism, 8.50 EUR, French, 123;
74. Les Miserables, Victor Hugo, 1862, Historical novel, 20.00 EUR, French, 1463;
34. The Hobbit, J.R.R. Tolkien, 1937, Fantasy, 11.00 EUR, English, 310;
9. The Lord of the Rings, J.R.R. Tolkien, 1954, Epic fantasy, 25.00 EUR, English, 1216;
52. Harry Potter and the Philosopher's Stone, J.K. Rowling, 1997, Fantasy, 10.99 EUR, English, 223;
14. Norwegian Wood, Haruki Murakami, 1987, Literary fiction, 12.00 EUR, Japanese, 296;
60. The Little Prince, Antoine de Saint-Exupéry, 1943, Children's literature / Philosophical, 7.50 EUR, French, 96;
1. The Alchemist, Paulo Coelho, 1988, Quest / Philosophical fiction, 9.50 EUR, Portuguese, 208;
45. Faust, Johann Wolfgang von Goethe, 1808, Drama / Tragedy, 14.00 EUR, German, 384;
32. The Divine Comedy, Dante Alighieri, 1320, Epic poem / Allegory, 15.00 EUR, Italian, 798;
21. Anna Karenina, Leo Tolstoy, 1877, Realist novel, 15.50 EUR, Russian, 864;
70. The Odyssey, Homer, ancient, Epic poetry, 13.00 EUR, Ancient Greek, 541;
5. The Iliad, Homer, ancient, Epic poetry, 13.00 EUR, Ancient Greek, 704;
58. The Grapes of Wrath, John Steinbeck, 1939, Social novel, 11.00 EUR, English, 464;
11. Fahrenheit 451, Ray Bradbury, 1953, Dystopia, 8.99 EUR, English, 194;
66. Slaughterhouse-Five, Kurt Vonnegut, 1969, Science fiction / Satire, 10.50 EUR, English, 215;
30. The Handmaid's Tale, Margaret Atwood, 1985, Dystopia, 11.50 EUR, English, 311;
17. The Kite Runner, Khaled Hosseini, 2003, Drama / Historical, 10.00 EUR, English, 371;
72. A Thousand Splendid Suns, Khaled Hosseini, 2007, Historical fiction, 11.00 EUR, English, 384;
8. The Silence of the Lambs, Thomas Harris, 1988, Thriller / Crime, 9.99 EUR, English, 352;
39. Gone Girl, Gillian Flynn, 2012, Psychological thriller, 12.50 EUR, English, 422;
24. The Girl with the Dragon Tattoo, Stieg Larsson, 2005, Crime / Mystery, 10.99 EUR, Swedish, 465;
53. The Name of the Rose, Umberto Eco, 1980, Historical mystery, 13.50 EUR, Italian, 512;
19. The Trial, Franz Kafka, 1925, Absurdist novel, 9.00 EUR, German, 288;
44. The Metamorphosis, Franz Kafka, 1915, Novella / Absurdist, 6.50 EUR, German, 74;
29. The Sun Also Rises, Ernest Hemingway, 1926, Novel, 9.50 EUR, English, 251;
63. For Whom the Bell Tolls, Ernest Hemingway, 1940, War novel, 11.50 EUR, English, 480;
10. On the Road, Jack Kerouac, 1957, Beat literature / Novel, 10.00 EUR, English, 320;
