1. Pride and Prejudice, Jane Austen, 1813, Novel (Romance), 9.90 EUR, English, 432;
2. Crime and Punishment, Fyodor Dostoevsky, 1866, Psychological novel, 12.50 EUR, Russian, 671;
3. War and Peace, Leo Tolstoy, 1869, Historical novel, 18.00 EUR, Russian, 1225;
4. Don Quixote, Miguel de Cervantes, 1605, Satire / Novel, 14.00 EUR, Spanish, 863;
5. One Hundred Years of Solitude, Gabriel García Márquez, 1967, Magical realism, 11.99 EUR, Spanish, 417;
6. The Great Gatsby, F. Scott Fitzgerald, 1925, Novel, 10.00 EUR, English, 180;
7. To Kill a Mockingbird, Harper Lee, 1960, Southern Gothic / Legal drama, 11.50 EUR, English, 324;
8. 1984, George Orwell, 1949, Dystopia, 9.50 EUR, English, 328;
9. Brave New World, Aldous Huxley, 1932, Dystopia / Sci-fi, 9.00 EUR, English, 268;
10. The Catcher in the Rye, J.D. Salinger, 1951, Coming-of-age novel, 10.50 EUR, English, 214;
11. The Road, Cormac McCarthy, 2006, Post-apocalyptic novel, 12.00 EUR, English, 287;
12. Beloved, Toni Morrison, 1987, Historical / Magical realism, 13.50 EUR, English, 324;
13. The Brothers Karamazov, Fyodor Dostoevsky, 1880, Philosophical novel, 16.00 EUR, Russian, 824;
14. Madame Bovary, Gustave Flaubert, 1856, Realist novel, 10.00 EUR, French, 328;
15. The Stranger, Albert Camus, 1942, Philosophical novel / Absurdism, 8.50 EUR, French, 123;
16. Les Misérables, Victor Hugo, 1862, Historical novel, 20.00 EUR, French, 1463;
17. The Hobbit, J.R.R. Tolkien, 1937, Fantasy, 11.00 EUR, English, 310;
18. The Lord of the Rings, J.R.R. Tolkien, 1954, Epic fantasy, 25.00 EUR, English, 1216;
19. Harry Potter and the Philosopher's Stone, J.K. Rowling, 1997, Fantasy, 10.99 EUR, English, 223;
20. Norwegian Wood, Haruki Murakami, 1987, Literary fiction, 12.00 EUR, Japanese, 296;
21. The Little Prince, Antoine de Saint-Exupéry, 1943, Children's literature / Philosophical, 7.50 EUR, French, 96;
22. The Alchemist, Paulo Coelho, 1988, Quest / Philosophical fiction, 9.50 EUR, Portuguese, 208;
23. Faust, Johann Wolfgang von Goethe, 1808, Drama / Tragedy, 14.00 EUR, German, 384;
24. The Divine Comedy, Dante Alighieri, 1320, Epic poem / Allegory, 15.00 EUR, Italian, 798;
25. Anna Karenina, Leo Tolstoy, 1877, Realist novel, 15.50 EUR, Russian, 864;
26. The Odyssey, Homer, ancient, Epic poetry, 13.00 EUR, Ancient Greek, 541;
27. The Iliad, Homer, ancient, Epic poetry, 13.00 EUR, Ancient Greek, 704;
28. The Grapes of Wrath, John Steinbeck, 1939, Social novel, 11.00 EUR, English, 464;
29. Fahrenheit 451, Ray Bradbury, 1953, Dystopia, 8.99 EUR, English, 194;
30. Slaughterhouse-Five, Kurt Vonnegut, 1969, Science fiction / Satire, 10.50 EUR, English, 215;
31. The Handmaid's Tale, Margaret Atwood, 1985, Dystopia, 11.50 EUR, English, 311;
32. The Kite Runner, Khaled Hosseini, 2003, Drama / Historical, 10.00 EUR, English, 371;
33. A Thousand Splendid Suns, Khaled Hosseini, 2007, Historical fiction, 11.00 EUR, English, 384;
34. The Silence of the Lambs, Thomas Harris, 1988, Thriller / Crime, 9.99 EUR, English, 352;
35. Gone Girl, Gillian Flynn, 2012, Psychological thriller, 12.50 EUR, English, 422;
36. The Girl with the Dragon Tattoo, Stieg Larsson, 2005, Crime / Mystery, 10.99 EUR, Swedish, 465;
37. The Name of the Rose, Umberto Eco, 1980, Historical mystery, 13.50 EUR, Italian, 512;
38. The Trial, Franz Kafka, 1925, Absurdist novel, 9.00 EUR, German, 288;
39. The Metamorphosis, Franz Kafka, 1915, Novella / Absurdist, 6.50 EUR, German, 74;
40. The Sun Also Rises, Ernest Hemingway, 1926, Novel, 9.50 EUR, English, 251;
41. For Whom the Bell Tolls, Ernest Hemingway, 1940, War novel, 11.50 EUR, English, 480;
42. On the Road, Jack Kerouac, 1957, Beat literature / Novel, 10.00 EUR, English, 320;
43. The Old Man and the Sea, Ernest Hemingway, 1952, Novella, 7.99 EUR, English, 127;
44. A Brief History of Time, Stephen Hawking, 1988, Popular science, 14.00 EUR, English, 256;
45. Sapiens: A Brief History of Humankind, Yuval Noah Harari, 2011, Non-fiction / History, 16.00 EUR, Hebrew/English, 498;
46. The Selfish Gene, Richard Dawkins, 1976, Science / Biology, 13.00 EUR, English, 360;
47. The Art of War, Sun Tzu, ancient, Military treatise, 6.00 EUR, Classical Chinese, 128;
48. Meditations, Marcus Aurelius, ~2nd century, Philosophy / Stoicism, 8.00 EUR, Ancient Greek, 256;
49. The Prince, Niccolò Machiavelli, 1532, Political treatise, 7.50 EUR, Italian, 140;
50. The Republic, Plato, ~4th century BC, Philosophy / Political theory, 12.00 EUR, Ancient Greek, 416;
51. Walden, Henry David Thoreau, 1854, Philosophy / Memoir, 9.00 EUR, English, 320;
52. The Diary of a Young Girl, Anne Frank, 1947, Memoir / History, 9.50 EUR, Dutch, 283;
53. Night, Elie Wiesel, 1956, Memoir / Holocaust, 8.50 EUR, Yiddish/French, 120;
54. Long Walk to Freedom, Nelson Mandela, 1994, Autobiography, 16.00 EUR, English/Afrikaans, 656;
55. The Power of Habit, Charles Duhigg, 2012, Self-help / Psychology, 12.50 EUR, English, 371;
56. Thinking, Fast and Slow, Daniel Kahneman, 2011, Psychology / Non-fiction, 14.50 EUR, English, 499;
57. Man's Search for Meaning, Viktor E. Frankl, 1946, Psychology / Memoir, 9.00 EUR, German, 200;
58. The Picture of Dorian Gray, Oscar Wilde, 1890, Gothic novel / Decadent literature, 8.50 EUR, English, 254;
59. Dracula, Bram Stoker, 1897, Gothic horror, 9.50 EUR, English, 418;
60. Frankenstein, Mary Shelley, 1818, Gothic / Science fiction, 8.00 EUR, English, 280;
61. The Count of Monte Cristo, Alexandre Dumas, 1844, Adventure / Historical, 15.00 EUR, French, 1276;
62. The Three Musketeers, Alexandre Dumas, 1844, Adventure, 11.00 EUR, French, 672;
63. The Stranger Beside Me, Ann Rule, 1980, True crime, 10.00 EUR, English, 448;
64. The Immortal Life of Henrietta Lacks, Rebecca Skloot, 2010, Biography / Science, 12.00 EUR, English, 381;
65. The Bell Jar, Sylvia Plath, 1963, Semi-autobiographical novel, 9.00 EUR, English, 244;
66. Mrs Dalloway, Virginia Woolf, 1925, Modernist novel, 10.00 EUR, English, 216;
67. To the Lighthouse, Virginia Woolf, 1927, Modernist novel, 11.00 EUR, English, 209;
68. Cloud Atlas, David Mitchell, 2004, Experimental novel / Speculative, 13.50 EUR, English, 509;
69. The Shadow of the Wind, Carlos Ruiz Zafón, 2001, Mystery / Historical fiction, 12.00 EUR, Spanish, 487;
70. Love in the Time of Cholera, Gabriel García Márquez, 1985, Romance / Magical realism, 11.00 EUR, Spanish, 368;
71. The Little Friend, Donna Tartt, 2002, Literary fiction / Mystery, 13.00 EUR, English, 512;
72. American Gods, Neil Gaiman, 2001, Fantasy / Mythic fiction, 12.50 EUR, English, 465;
73. The Road to Wigan Pier, George Orwell, 1937, Non-fiction / Social reportage, 9.00 EUR, English, 232;
74. Amintiri din copilărie, Ion Creangă, 1881, Memorii / Literatură pentru copii, 6.50 EUR, Romanian, 176;
