1. The Metamorphosis, Franz Kafka, 1915, Novella / Absurdist, 6.50 EUR, German, 74;
2. The Little Prince, Antoine de Saint-Exupéry, 1943, Children's literature / Philosophical, 7.50 EUR, French, 96;
3. Night, Elie Wiesel, 1956, Memoir / Holocaust, 8.50 EUR, Yiddish/French, 120;
4. The Stranger, Albert Camus, 1942, Philosophical novel / Absurdism, 8.50 EUR, French, 123;
5. The Old Man and the Sea, Ernest Hemingway, 1952, Novella, 7.99 EUR, English, 127;
6. The Art of War, Sun Tzu, ancient, Military treatise, 6.00 EUR, Classical Chinese, 128;
7. The Prince, Niccolò Machiavelli, 1532, Political treatise, 7.50 EUR, Italian, 140;
8. Amintiri din copilărie, Ion Creangă, 1881, Memorii / Literatură pentru copii, 6.50 EUR, Romanian, 176;
9. The Great Gatsby, F. Scott Fitzgerald, 1925, Novel, 10.00 EUR, English, 180;
10. Fahrenheit 451, Ray Bradbury, 1953, Dystopia, 8.99 EUR, English, 194;
11. Man's Search for Meaning, Viktor E. Frankl, 1946, Psychology / Memoir, 9.00 EUR, German, 200;
12. The Alchemist, Paulo Coelho, 1988, Quest / Philosophical fiction, 9.50 EUR, Portuguese, 208;
13. To the Lighthouse, Virginia Woolf, 1927, Modernist novel, 11.00 EUR, English, 209;
14. The Catcher in the Rye, J.D. Salinger, 1951, Coming-of-age novel, 10.50 EUR, English, 214;
15. Slaughterhouse-Five, Kurt Vonnegut, 1969, Science fiction / Satire, 10.50 EUR, English, 215;
16. Mrs Dalloway, Virginia Woolf, 1925, Modernist novel, 10.00 EUR, English, 216;
17. Harry Potter and the Philosopher's Stone, J.K. Rowling, 1997, Fantasy, 10.99 EUR, English, 223;
18. The Road to Wigan Pier, George Orwell, 1937, Non-fiction / Social reportage, 9.00 EUR, English, 232;
19. The Bell Jar, Sylvia Plath, 1963, Semi-autobiographical novel, 9.00 EUR, English, 244;
20. The Sun Also Rises, Ernest Hemingway, 1926, Novel, 9.50 EUR, English, 251;
21. The Picture of Dorian Gray, Oscar Wilde, 1890, Gothic novel / Decadent literature, 8.50 EUR, English, 254;
22. A Brief History of Time, Stephen Hawking, 1988, Popular science, 14.00 EUR, English, 256;
23. Meditations, Marcus Aurelius, 2nd century, Philosophy / Stoicism, 8.00 EUR, Ancient Greek, 257;
24. Brave New World, Aldous Huxley, 1932, Dystopia / Sci-fi, 9.00 EUR, English, 268;
25. Frankenstein, Mary Shelley, 1818, Gothic / Science fiction, 8.00 EUR, English, 280;
26. The Diary of a Young Girl, Anne Frank, 1947, Memoir / History, 9.50 EUR, Dutch, 283;
27. The Road, Cormac McCarthy, 2006, Post-apocalyptic novel, 12.00 EUR, English, 287;
28. The Trial, Franz Kafka, 1925, Absurdist novel, 9.00 EUR, German, 288;
29. Norwegian Wood, Haruki Murakami, 1987, Literary fiction, 12.00 EUR, Japanese, 296;
30. The Hobbit, J.R.R. Tolkien, 1937, Fantasy, 11.00 EUR, English, 310;
31. The Handmaid's Tale, Margaret Atwood, 1985, Dystopia, 11.50 EUR, English, 311;
32. On the Road, Jack Kerouac, 1957, Beat literature / Novel, 10.00 EUR, English, 320;
33. Walden, Henry David Thoreau, 1854, Philosophy / Memoir, 9.00 EUR, English, 321;
